record,ms,mode,target_left,target_right,speed_left_mm_s,speed_right_mm_s,pwm_left,pwm_right,raw_left,raw_right,total_left,total_right,enable
D,35425,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35435,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35445,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35455,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35465,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35475,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35485,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35495,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35505,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35515,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35525,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35535,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35545,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35555,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35565,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35575,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35585,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35595,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35605,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35615,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35625,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35635,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35645,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35655,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35665,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35675,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35685,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35695,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35705,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35715,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35725,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35735,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35745,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35755,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35765,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35775,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35785,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35795,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35805,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35815,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35825,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35835,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35845,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35855,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35865,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35875,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35885,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35895,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35905,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35915,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35925,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35935,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35945,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35955,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35965,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35975,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35985,0,0,0,0,0,0,0,0,0,-1,-11,1
D,35995,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36005,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36015,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36025,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36035,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36045,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36055,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36065,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36075,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36085,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36095,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36105,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36115,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36125,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36135,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36145,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36155,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36165,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36175,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36185,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36195,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36205,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36215,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36225,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36235,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36245,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36255,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36265,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36275,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36285,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36295,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36305,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36315,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36325,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36335,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36345,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36355,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36365,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36375,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36385,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36395,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36405,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36415,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36425,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36435,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36445,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36455,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36465,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36475,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36485,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36495,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36505,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36515,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36525,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36535,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36545,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36555,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36565,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36575,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36585,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36595,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36605,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36615,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36625,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36635,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36645,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36655,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36665,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36675,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36685,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36695,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36705,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36715,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36725,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36735,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36745,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36755,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36765,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36775,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36785,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36795,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36805,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36815,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36825,0,0,0,0,0,0,0,0,0,-1,-11,1
